Turn,Completed Tasks,Tasks/Turn
100,460,4.6
200,896,4.48
300,1312,4.373333333333333
400,1706,4.265
500,2115,4.23
600,2500,4.166666666666667
700,2899,4.1414285714285715
800,3286,4.1075
900,3699,4.11
1000,4094,4.094
1100,4486,4.078181818181818
1200,4899,4.0825
1300,5320,4.092307692307692
1400,5700,4.071428571428571
1500,6100,4.066666666666666
1600,6500,4.0625
1700,6917,4.068823529411764
1800,7327,4.070555555555556
1900,7720,4.063157894736842
2000,8139,4.0695
2100,8575,4.083333333333333
2200,8979,4.081363636363636
2300,9394,4.084347826086956
2400,9778,4.074166666666667
2500,10175,4.07
2600,10567,4.064230769230769
2700,10973,4.064074074074074
2800,11378,4.063571428571429
2900,11779,4.0617241379310345
3000,12175,4.058333333333334
3100,12595,4.062903225806451
3200,13006,4.064375
3300,13406,4.0624242424242425
3400,13786,4.054705882352941
3500,14186,4.053142857142857
3600,14598,4.055
3700,15027,4.061351351351352
3800,15447,4.065
3900,15867,4.068461538461539
4000,16276,4.069
4100,16679,4.068048780487805
4200,17093,4.069761904761905
4300,17526,4.075813953488372
4400,17947,4.078863636363637
4500,18380,4.084444444444444
4600,18776,4.081739130434783
4700,19176,4.08
4800,19586,4.080416666666666
4900,19980,4.077551020408163
5000,20397,4.0794
5100,20787,4.075882352941177
5200,21212,4.07923076923077
5300,21600,4.0754716981132075
5400,22018,4.077407407407407
5500,22414,4.075272727272727
5600,22820,4.075
5700,23236,4.076491228070175
5800,23658,4.07896551724138
5900,24052,4.076610169491525
6000,24460,4.076666666666667
6100,24898,4.081639344262295
6200,25280,4.077419354838709
6300,25714,4.081587301587302
6400,26137,4.08390625
6500,26540,4.0830769230769235
6600,26959,4.08469696969697
6700,27358,4.083283582089552
6800,27768,4.083529411764706
6900,28180,4.084057971014492
7000,28594,4.0848571428571425
7100,29000,4.084507042253521
7200,29399,4.083194444444445
7300,29814,4.084109589041096
7400,30220,4.083783783783784
7500,30619,4.082533333333333
7600,31027,4.0825
7700,31438,4.082857142857143
7800,31840,4.082051282051282
7900,32256,4.083037974683545
8000,32660,4.0825
8100,33059,4.081358024691358
8200,33460,4.080487804878048
8300,33879,4.081807228915663
8400,34280,4.080952380952381
8500,34697,4.082
8600,35079,4.078953488372093
8700,35485,4.078735632183908
8800,35893,4.07875
8900,36294,4.077977528089888
9000,36719,4.079888888888889
9100,37138,4.081098901098901
9200,37538,4.080217391304348
9300,37952,4.080860215053764
9400,38347,4.079468085106383
9500,38773,4.081368421052631
9600,39166,4.079791666666667
9700,39614,4.083917525773196
9800,40007,4.08234693877551
9900,40418,4.082626262626262
10000,40806,4.0806
10100,41227,4.081881188118812
10200,41637,4.082058823529412
10300,42038,4.081359223300971
10400,42456,4.082307692307692
10500,42860,4.081904761904762
10600,43259,4.081037735849057
10700,43666,4.080934579439252
10800,44076,4.081111111111111
10900,44480,4.080733944954129
11000,44899,4.081727272727273
11100,45320,4.082882882882883
11200,45738,4.08375
11300,46152,4.08424778761062
11400,46567,4.084824561403509
11500,46999,4.086869565217391
11600,47417,4.087672413793103
11700,47818,4.087008547008547
11800,48226,4.086949152542373
11900,48626,4.086218487394958
12000,49056,4.088
12100,49467,4.088181818181818
12200,49880,4.088524590163934
12300,50279,4.0877235772357725
12400,50712,4.089677419354839
12500,51117,4.08936
12600,51518,4.088730158730159
12700,51933,4.089212598425197
12800,52337,4.088828125
12900,52731,4.087674418604651
13000,53126,4.086615384615385
13100,53547,4.087557251908397
13200,53940,4.086363636363636
13300,54360,4.087218045112782
13400,54759,4.086492537313433
13500,55154,4.085481481481481
13600,55554,4.084852941176471
13700,55968,4.085255474452555
13800,56356,4.083768115942029
13900,56757,4.083237410071942
14000,57173,4.083785714285714
14100,57547,4.081347517730497
14200,57959,4.0816197183098595
14300,58373,4.082027972027972
14400,58774,4.081527777777778
14500,59187,4.081862068965517
14600,59587,4.081301369863014
14700,59995,4.081292517006803
14800,60400,4.081081081081081
14900,60799,4.0804697986577185
15000,61173,4.0782
15100,61578,4.078013245033112
15200,62000,4.078947368421052
15300,62417,4.079542483660131
15400,62833,4.080064935064935
15500,63226,4.079096774193548
15600,63639,4.079423076923077
15700,64040,4.078980891719746
15800,64460,4.079746835443038
15900,64873,4.080062893081761
16000,65273,4.0795625
16100,65694,4.080372670807454
16200,66079,4.078950617283951
16300,66507,4.0801840490797545
16400,66907,4.07969512195122
16500,67340,4.081212121212121
16600,67746,4.081084337349398
16700,68160,4.081437125748503
16800,68567,4.081369047619048
16900,68980,4.081656804733727
17000,69387,4.0815882352941175
17100,69780,4.080701754385965
17200,70214,4.082209302325581
17300,70620,4.082080924855491
17400,71038,4.082643678160919
17500,71439,4.082228571428572
17600,71854,4.082613636363637
17700,72277,4.083446327683616
17800,72679,4.083089887640449
17900,73094,4.083463687150838
18000,73480,4.082222222222223
18100,73898,4.082762430939226
18200,74294,4.082087912087912
18300,74679,4.080819672131147
18400,75096,4.081304347826087
18500,75493,4.080702702702703
18600,75917,4.081559139784947
18700,76308,4.080641711229947
18800,76717,4.080691489361702
18900,77119,4.08037037037037
19000,77519,4.0799473684210525
19100,77940,4.0806282722513085
19200,78360,4.08125
19300,78780,4.081865284974093
19400,79179,4.08139175257732
19500,79599,4.082
19600,80018,4.082551020408164
19700,80406,4.081522842639594
19800,80827,4.082171717171717
19900,81234,4.082110552763819
20000,81640,4.082
20100,82057,4.082437810945273
20200,82477,4.083019801980198
20300,82880,4.082758620689655
20400,83287,4.082696078431373
20500,83693,4.082585365853658
20600,84093,4.0821844660194175
20700,84499,4.08207729468599
20800,84912,4.082307692307692
20900,85314,4.08200956937799
21000,85714,4.081619047619047
