Turn,Completed Tasks,Tasks/Turn
100,299,2.99
200,559,2.795
300,794,2.6466666666666665
400,1039,2.5975
500,1276,2.552
600,1480,2.466666666666667
700,1719,2.4557142857142855
800,1928,2.41
900,2158,2.397777777777778
1000,2348,2.348
1100,2519,2.29
1200,2699,2.2491666666666665
1300,2879,2.2146153846153847
1400,3058,2.184285714285714
1500,3186,2.124
1600,3319,2.074375
1700,3418,2.010588235294118
1800,3499,1.943888888888889
1900,3577,1.8826315789473684
2000,3658,1.829
2100,3737,1.7795238095238095
2200,3818,1.7354545454545454
2300,3898,1.6947826086956521
2400,3985,1.6604166666666667
2500,4059,1.6236
2600,4151,1.5965384615384615
2700,4238,1.5696296296296297
2800,4295,1.5339285714285715
2900,4355,1.5017241379310344
3000,4415,1.4716666666666667
3100,4458,1.4380645161290322
3200,4533,1.4165625
3300,4590,1.3909090909090909
3400,4656,1.3694117647058823
3500,4713,1.3465714285714285
3600,4775,1.3263888888888888
3700,4812,1.3005405405405406
3800,4854,1.2773684210526315
3900,4894,1.254871794871795
4000,4915,1.22875
4100,4936,1.2039024390243902
4200,4959,1.1807142857142856
4300,4987,1.159767441860465
4400,5012,1.1390909090909092
4500,5035,1.1188888888888888
4600,5056,1.0991304347826087
4700,5084,1.0817021276595744
4800,5111,1.0647916666666666
4900,5133,1.0475510204081633
5000,5157,1.0314
5100,5178,1.015294117647059
5200,5208,1.0015384615384615
5300,5229,0.9866037735849057
5400,5251,0.9724074074074074
5500,5273,0.9587272727272728
5600,5296,0.9457142857142857
5700,5316,0.9326315789473684
5800,5338,0.920344827586207
5900,5369,0.91
6000,5391,0.8985
6100,5413,0.8873770491803279
6200,5435,0.8766129032258064
6300,5458,0.8663492063492063
6400,5491,0.85796875
6500,5514,0.8483076923076923
6600,5533,0.8383333333333334
6700,5557,0.8294029850746268
6800,5576,0.82
6900,5578,0.8084057971014493
7000,5578,0.7968571428571428
7100,5578,0.7856338028169014
7200,5578,0.7747222222222222
7300,5578,0.7641095890410959
7400,5578,0.7537837837837837
7500,5578,0.7437333333333334
7600,5578,0.7339473684210527
7700,5578,0.7244155844155844
7800,5578,0.7151282051282051
7900,5578,0.7060759493670886
8000,5578,0.69725
8100,5578,0.688641975308642
8200,5578,0.6802439024390244
8300,5578,0.6720481927710843
8400,5578,0.664047619047619
8500,5578,0.656235294117647
8600,5578,0.6486046511627906
8700,5578,0.6411494252873563
8800,5578,0.6338636363636364
8900,5578,0.6267415730337078
9000,5578,0.6197777777777778
9100,5578,0.6129670329670329
9200,5578,0.606304347826087
9300,5578,0.5997849462365591
9400,5578,0.593404255319149
9500,5578,0.5871578947368421
9600,5578,0.5810416666666667
9700,5578,0.5750515463917526
9800,5578,0.5691836734693878
9900,5578,0.5634343434343434
10000,5578,0.5578
10100,5578,0.5522772277227723
10200,5578,0.5468627450980392
10300,5578,0.5415533980582524
10400,5578,0.5363461538461538
10500,5578,0.5312380952380953
10600,5578,0.5262264150943397
10700,5578,0.5213084112149533
10800,5578,0.5164814814814814
10900,5578,0.5117431192660551
11000,5578,0.507090909090909
11100,5578,0.5025225225225225
11200,5578,0.4980357142857143
11300,5578,0.4936283185840708
11400,5578,0.48929824561403507
11500,5578,0.4850434782608696
11600,5578,0.48086206896551725
11700,5578,0.47675213675213673
11800,5578,0.47271186440677965
11900,5578,0.4687394957983193
12000,5578,0.4648333333333333
12100,5578,0.4609917355371901
12200,5578,0.45721311475409837
12300,5578,0.4534959349593496
12400,5578,0.44983870967741935
12500,5578,0.44624
12600,5578,0.4426984126984127
12700,5578,0.43921259842519683
12800,5578,0.43578125
12900,5578,0.4324031007751938
13000,5578,0.4290769230769231
13100,5578,0.4258015267175573
13200,5578,0.42257575757575755
13300,5578,0.4193984962406015
13400,5578,0.4162686567164179
13500,5578,0.4131851851851852
13600,5578,0.4101470588235294
13700,5578,0.40715328467153283
13800,5578,0.40420289855072467
13900,5578,0.40129496402877696
14000,5578,0.3984285714285714
14100,5578,0.39560283687943265
14200,5578,0.3928169014084507
14300,5578,0.39006993006993007
14400,5578,0.3873611111111111
14500,5578,0.38468965517241377
14600,5578,0.38205479452054797
14700,5578,0.37945578231292515
14800,5578,0.3768918918918919
14900,5578,0.3743624161073825
15000,5578,0.3718666666666667
15100,5578,0.36940397350993376
15200,5578,0.36697368421052634
15300,5578,0.36457516339869284
15400,5578,0.3622077922077922
15500,5578,0.3598709677419355
15600,5578,0.35756410256410254
15700,5578,0.3552866242038217
15800,5578,0.3530379746835443
15900,5578,0.3508176100628931
16000,5578,0.348625
16100,5578,0.34645962732919255
16200,5578,0.344320987654321
16300,5578,0.3422085889570552
16400,5578,0.3401219512195122
16500,5578,0.33806060606060606
16600,5578,0.33602409638554215
16700,5578,0.33401197604790417
16800,5578,0.3320238095238095
16900,5578,0.33005917159763315
17000,5578,0.3281176470588235
17100,5578,0.3261988304093567
17200,5578,0.3243023255813953
17300,5578,0.32242774566473986
17400,5578,0.32057471264367815
17500,5578,0.31874285714285716
17600,5578,0.3169318181818182
17700,5578,0.3151412429378531
17800,5578,0.3133707865168539
17900,5578,0.31162011173184356
18000,5578,0.3098888888888889
18100,5578,0.3081767955801105
18200,5578,0.30648351648351646
18300,5578,0.30480874316939893
18400,5578,0.3031521739130435
18500,5578,0.3015135135135135
18600,5578,0.29989247311827955
18700,5578,0.2982887700534759
18800,5578,0.2967021276595745
18900,5578,0.29513227513227513
19000,5578,0.29357894736842105
19100,5578,0.2920418848167539
19200,5578,0.29052083333333334
19300,5578,0.2890155440414508
19400,5578,0.2875257731958763
19500,5578,0.28605128205128205
19600,5578,0.2845918367346939
19700,5578,0.2831472081218274
19800,5578,0.2817171717171717
19900,5578,0.28030150753768845
20000,5578,0.2789
20100,5578,0.27751243781094526
20200,5578,0.27613861386138616
20300,5578,0.2747783251231527
20400,5578,0.2734313725490196
20500,5578,0.2720975609756098
20600,5578,0.2707766990291262
20700,5578,0.2694685990338164
20800,5578,0.2681730769230769
20900,5578,0.26688995215311007
21000,5578,0.26561904761904764
21100,5578,0.2643601895734597
21200,5578,0.2631132075471698
21300,5578,0.2618779342723005
21400,5578,0.26065420560747665
21500,5578,0.2594418604651163
21600,5578,0.2582407407407407
21700,5578,0.2570506912442396
21800,5578,0.25587155963302755
21900,5578,0.254703196347032
22000,5578,0.2535454545454545
22100,5578,0.2523981900452489
22200,5578,0.25126126126126125
22300,5578,0.25013452914798207
22400,5578,0.24901785714285715
22500,5578,0.2479111111111111
22600,5578,0.2468141592920354
22700,5578,0.24572687224669604
22800,5578,0.24464912280701753
22900,5578,0.24358078602620087
23000,5578,0.2425217391304348
23100,5578,0.24147186147186148
23200,5578,0.24043103448275863
23300,5578,0.23939914163090129
23400,5578,0.23837606837606837
23500,5578,0.23736170212765959
23600,5578,0.23635593220338982
23700,5578,0.23535864978902954
23800,5578,0.23436974789915965
23900,5578,0.23338912133891213
24000,5578,0.23241666666666666
24100,5578,0.23145228215767635
24200,5578,0.23049586776859504
24300,5578,0.22954732510288064
24400,5578,0.22860655737704919
24500,5578,0.2276734693877551
24600,5578,0.2267479674796748
24700,5578,0.22582995951417004
24800,5578,0.22491935483870967
24900,5578,0.2240160642570281
25000,5578,0.22312
25100,5578,0.22223107569721115
25200,5578,0.22134920634920635
25300,5578,0.22047430830039524
25400,5578,0.21960629921259842
25500,5578,0.21874509803921569
25600,5578,0.217890625
25700,5578,0.21704280155642022
25800,5578,0.2162015503875969
25900,5578,0.21536679536679537
26000,5578,0.21453846153846154
26100,5578,0.21371647509578545
26200,5578,0.21290076335877864
26300,5578,0.2120912547528517
26400,5578,0.21128787878787877
26500,5578,0.21049056603773586
26600,5578,0.20969924812030075
26700,5578,0.20891385767790263
26800,5578,0.20813432835820894
26900,5578,0.20736059479553903
27000,5578,0.2065925925925926
27100,5578,0.20583025830258303
27200,5578,0.2050735294117647
27300,5578,0.20432234432234433
27400,5578,0.20357664233576642
27500,5578,0.20283636363636365
27600,5578,0.20210144927536233
27700,5578,0.20137184115523465
27800,5578,0.20064748201438848
27900,5578,0.1999283154121864
28000,5578,0.1992142857142857
28100,5578,0.19850533807829182
28200,5578,0.19780141843971633
28300,5578,0.1971024734982332
28400,5578,0.19640845070422536
28500,5578,0.19571929824561404
28600,5578,0.19503496503496504
28700,5578,0.1943554006968641
28800,5578,0.19368055555555555
28900,5578,0.19301038062283737
29000,5578,0.19234482758620688
29100,5578,0.19168384879725087
29200,5578,0.19102739726027398
29300,5578,0.19037542662116042
29400,5578,0.18972789115646257
29500,5578,0.18908474576271186
29600,5578,0.18844594594594594
29700,5578,0.18781144781144782
29800,5578,0.18718120805369126
29900,5578,0.1865551839464883
30000,5578,0.18593333333333334
30100,5578,0.1853156146179402
30200,5578,0.18470198675496688
30300,5578,0.1840924092409241
30400,5578,0.18348684210526317
30500,5578,0.18288524590163935
30600,5578,0.18228758169934642
30700,5578,0.18169381107491855
30800,5578,0.1811038961038961
30900,5578,0.1805177993527508
31000,5578,0.17993548387096775
31100,5578,0.17935691318327973
31200,5578,0.17878205128205127
31300,5578,0.1782108626198083
31400,5578,0.17764331210191084
31500,5578,0.1770793650793651
31600,5578,0.17651898734177215
31700,5578,0.17596214511041008
31800,5578,0.17540880503144654
31900,5578,0.174858934169279
32000,5578,0.1743125
32100,5578,0.17376947040498442
32200,5578,0.17322981366459628
32300,5578,0.17269349845201237
32400,5578,0.1721604938271605
32500,5578,0.17163076923076923
32600,5578,0.1711042944785276
32700,5578,0.1705810397553517
32800,5578,0.1700609756097561
