Turn,Completed Tasks,Tasks/Turn
100,254,2.54
200,512,2.56
300,757,2.5233333333333334
400,990,2.475
500,1230,2.46
600,1475,2.4583333333333335
700,1709,2.4414285714285713
800,1954,2.4425
900,2188,2.431111111111111
1000,2433,2.433
1100,2666,2.423636363636364
1200,2899,2.4158333333333335
1300,3140,2.4153846153846152
1400,3369,2.4064285714285716
1500,3601,2.4006666666666665
1600,3837,2.398125
1700,4078,2.398823529411765
1800,4335,2.408333333333333
1900,4578,2.409473684210526
2000,4814,2.407
2100,5049,2.4042857142857144
2200,5292,2.4054545454545453
2300,5532,2.405217391304348
2400,5771,2.4045833333333335
2500,5989,2.3956
2600,6215,2.3903846153846153
2700,6440,2.3851851851851853
2800,6693,2.390357142857143
2900,6948,2.3958620689655175
3000,7180,2.3933333333333335
3100,7413,2.391290322580645
3200,7632,2.385
3300,7858,2.3812121212121213
3400,8104,2.3835294117647057
3500,8347,2.384857142857143
3600,8580,2.3833333333333333
3700,8829,2.386216216216216
3800,9079,2.3892105263157895
3900,9313,2.387948717948718
4000,9544,2.386
4100,9794,2.388780487804878
4200,10029,2.387857142857143
4300,10255,2.3848837209302327
4400,10506,2.3877272727272727
4500,10751,2.389111111111111
4600,10989,2.388913043478261
4700,11220,2.3872340425531915
4800,11471,2.3897916666666665
4900,11694,2.386530612244898
5000,11939,2.3878
5100,12185,2.3892156862745098
5200,12418,2.388076923076923
5300,12657,2.38811320754717
5400,12898,2.3885185185185187
5500,13131,2.3874545454545455
5600,13357,2.3851785714285714
5700,13600,2.3859649122807016
5800,13834,2.3851724137931036
5900,14070,2.3847457627118644
6000,14314,2.385666666666667
6100,14551,2.3854098360655738
6200,14780,2.3838709677419354
6300,15014,2.383174603174603
6400,15251,2.38296875
6500,15495,2.3838461538461537
6600,15730,2.3833333333333333
6700,15960,2.382089552238806
6800,16204,2.382941176470588
6900,16435,2.3818840579710145
7000,16673,2.3818571428571427
7100,16927,2.3840845070422536
7200,17178,2.3858333333333333
7300,17434,2.388219178082192
7400,17682,2.3894594594594594
7500,17918,2.3890666666666664
7600,18154,2.388684210526316
7700,18408,2.3906493506493507
7800,18644,2.39025641025641
7900,18892,2.391392405063291
8000,19137,2.392125
8100,19376,2.392098765432099
8200,19614,2.3919512195121952
8300,19850,2.391566265060241
8400,20090,2.3916666666666666
8500,20315,2.39
8600,20567,2.3915116279069766
8700,20792,2.3898850574712642
8800,21019,2.3885227272727274
8900,21257,2.3884269662921347
9000,21513,2.3903333333333334
9100,21759,2.391098901098901
9200,21988,2.39
9300,22217,2.388924731182796
9400,22457,2.3890425531914894
9500,22698,2.389263157894737
9600,22934,2.3889583333333335
9700,23192,2.3909278350515466
9800,23437,2.391530612244898
9900,23676,2.3915151515151516
10000,23917,2.3917
10100,24154,2.3914851485148514
10200,24414,2.393529411764706
10300,24649,2.3931067961165047
10400,24877,2.3920192307692307
10500,25118,2.392190476190476
10600,25348,2.3913207547169812
10700,25587,2.391308411214953
10800,25817,2.390462962962963
10900,26059,2.3907339449541283
11000,26292,2.390181818181818
11100,26539,2.390900900900901
11200,26768,2.39
11300,26999,2.38929203539823
11400,27233,2.388859649122807
11500,27457,2.3875652173913045
11600,27700,2.3879310344827585
11700,27931,2.387264957264957
11800,28178,2.387966101694915
11900,28420,2.388235294117647
12000,28650,2.3875
12100,28899,2.3883471074380167
12200,29152,2.3895081967213114
12300,29400,2.3902439024390243
12400,29626,2.3891935483870967
12500,29860,2.3888
12600,30097,2.3886507936507937
12700,30340,2.3889763779527557
12800,30592,2.39
12900,30835,2.3903100775193797
13000,31080,2.390769230769231
13100,31315,2.3904580152671757
13200,31533,2.388863636363636
13300,31769,2.3886466165413536
13400,32017,2.3893283582089553
13500,32255,2.3892592592592594
13600,32491,2.389044117647059
13700,32729,2.388978102189781
13800,32954,2.3879710144927535
13900,33195,2.3881294964028776
14000,33435,2.3882142857142856
14100,33675,2.3882978723404253
14200,33895,2.3869718309859156
14300,34136,2.387132867132867
14400,34379,2.3874305555555555
14500,34629,2.3882068965517242
14600,34859,2.3876027397260273
14700,35105,2.388095238095238
14800,35338,2.3877027027027027
14900,35583,2.3881208053691276
15000,35820,2.388
15100,36052,2.387549668874172
15200,36280,2.386842105263158
15300,36535,2.387908496732026
15400,36760,2.387012987012987
15500,37009,2.387677419354839
15600,37240,2.387179487179487
15700,37470,2.386624203821656
15800,37707,2.386518987341772
15900,37934,2.385786163522013
16000,38185,2.3865625
16100,38414,2.3859627329192548
16200,38636,2.384938271604938
16300,38879,2.3852147239263806
16400,39120,2.3853658536585365
16500,39360,2.3854545454545453
16600,39600,2.3855421686746987
16700,39860,2.386826347305389
16800,40096,2.3866666666666667
16900,40339,2.3869230769230767
17000,40580,2.387058823529412
17100,40820,2.3871345029239768
17200,41059,2.3871511627906976
17300,41303,2.387456647398844
17400,41536,2.3871264367816094
17500,41773,2.3870285714285715
17600,42012,2.3870454545454547
17700,42249,2.386949152542373
17800,42491,2.387134831460674
17900,42739,2.387653631284916
18000,42980,2.387777777777778
18100,43212,2.387403314917127
18200,43457,2.387747252747253
18300,43691,2.3874863387978142
18400,43935,2.387771739130435
18500,44180,2.388108108108108
18600,44426,2.388494623655914
18700,44659,2.388181818181818
18800,44898,2.3881914893617022
18900,45137,2.388201058201058
19000,45377,2.3882631578947366
19100,45618,2.3883769633507854
19200,45865,2.388802083333333
19300,46116,2.3894300518134717
19400,46340,2.388659793814433
19500,46568,2.388102564102564
19600,46800,2.3877551020408165
19700,47053,2.388477157360406
19800,47299,2.388838383838384
19900,47532,2.388542713567839
20000,47764,2.3882
20100,48012,2.3886567164179104
20200,48240,2.388118811881188
20300,48491,2.38871921182266
20400,48729,2.3886764705882353
20500,48957,2.3881463414634148
20600,49199,2.3883009708737863
20700,49439,2.3883574879227054
20800,49676,2.3882692307692306
20900,49922,2.3886124401913875
21000,50151,2.3881428571428573
21100,50398,2.388530805687204
21200,50639,2.388632075471698
21300,50871,2.3883098591549294
21400,51116,2.3885981308411215
21500,51340,2.387906976744186
21600,51576,2.387777777777778
21700,51809,2.387511520737327
21800,52060,2.3880733944954127
21900,52299,2.3880821917808217
22000,52534,2.387909090909091
22100,52770,2.387782805429864
22200,52998,2.3872972972972972
22300,53249,2.387847533632287
22400,53495,2.388169642857143
22500,53737,2.3883111111111113
22600,53978,2.3884070796460177
22700,54233,2.3891189427312773
22800,54474,2.3892105263157895
22900,54713,2.3892139737991265
23000,54951,2.389173913043478
23100,55193,2.3893073593073595
23200,55440,2.389655172413793
23300,55689,2.390085836909871
23400,55935,2.3903846153846153
23500,56176,2.390468085106383
23600,56418,2.390593220338983
23700,56665,2.390928270042194
23800,56899,2.3907142857142856
23900,57129,2.390334728033473
24000,57370,2.390416666666667
24100,57611,2.3904979253112035
24200,57853,2.3906198347107437
24300,58098,2.390864197530864
24400,58324,2.390327868852459
24500,58558,2.390122448979592
24600,58787,2.3897154471544715
24700,59019,2.389433198380567
24800,59266,2.389758064516129
24900,59500,2.389558232931727
25000,59735,2.3894
25100,59979,2.389601593625498
25200,60224,2.38984126984127
25300,60453,2.3894466403162054
25400,60680,2.3889763779527557
25500,60917,2.3889019607843136
25600,61154,2.388828125
25700,61389,2.3886770428015565
25800,61618,2.3882945736434107
25900,61874,2.388957528957529
26000,62106,2.388692307692308
26100,62340,2.3885057471264366
26200,62579,2.3885114503816793
26300,62817,2.3884790874524713
26400,63059,2.388598484848485
26500,63294,2.388452830188679
26600,63539,2.388684210526316
26700,63770,2.3883895131086144
26800,64010,2.3884328358208955
26900,64237,2.3879925650557623
27000,64475,2.387962962962963
27100,64702,2.3875276752767527
27200,64948,2.3877941176470587
27300,65184,2.3876923076923076
27400,65416,2.3874452554744527
27500,65651,2.387309090909091
27600,65900,2.38768115942029
27700,66137,2.3876173285198554
27800,66377,2.3876618705035972
27900,66619,2.387777777777778
28000,66859,2.3878214285714288
28100,67085,2.3873665480427047
28200,67322,2.387304964539007
28300,67559,2.387243816254417
28400,67816,2.3878873239436618
28500,68048,2.3876491228070176
28600,68288,2.3876923076923076
28700,68514,2.387247386759582
28800,68750,2.3871527777777777
28900,68984,2.3869896193771627
29000,69220,2.386896551724138
29100,69444,2.3863917525773197
29200,69678,2.3862328767123286
29300,69914,2.3861433447098976
29400,70151,2.3860884353741496
29500,70380,2.3857627118644067
29600,70632,2.386216216216216
29700,70879,2.3864983164983165
29800,71112,2.386308724832215
29900,71339,2.3859197324414714
30000,71578,2.3859333333333335
30100,71829,2.386345514950166
30200,72069,2.386390728476821
30300,72313,2.3865676567656764
30400,72555,2.3866776315789475
30500,72799,2.3868524590163935
30600,73028,2.386535947712418
30700,73253,2.3860912052117262
30800,73480,2.3857142857142857
30900,73736,2.3862783171521036
31000,73968,2.386064516129032
31100,74200,2.3858520900321545
31200,74430,2.3855769230769233
31300,74667,2.3855271565495206
31400,74905,2.3855095541401274
31500,75140,2.385396825396825
31600,75378,2.385379746835443
31700,75614,2.385299684542587
31800,75867,2.385754716981132
31900,76097,2.385485893416928
32000,76344,2.38575
32100,76574,2.385482866043614
32200,76813,2.385496894409938
32300,77060,2.3857585139318886
32400,77297,2.38570987654321
32500,77530,2.3855384615384616
32600,77756,2.385153374233129
32700,77988,2.384954128440367
32800,78231,2.3850914634146343
32900,78480,2.3854103343465045
33000,78716,2.3853333333333335
33100,78955,2.385347432024169
33200,79200,2.3855421686746987
33300,79440,2.3855855855855856
33400,79694,2.3860479041916167
33500,79938,2.3862089552238808
33600,80180,2.386309523809524
33700,80420,2.3863501483679523
33800,80651,2.3861242603550297
33900,80886,2.3860176991150444
34000,81112,2.3856470588235292
34100,81352,2.3856891495601174
34200,81593,2.3857602339181287
34300,81828,2.385655976676385
34400,82071,2.3857848837209303
34500,82299,2.385478260869565
34600,82555,2.3859826589595374
34700,82797,2.3860806916426514
34800,83038,2.3861494252873565
34900,83272,2.386017191977077
35000,83522,2.386342857142857
35100,83768,2.3865527065527066
35200,84027,2.387130681818182
35300,84267,2.3871671388101983
35400,84508,2.387231638418079
35500,84747,2.3872394366197183
35600,84994,2.3874719101123594
35700,85227,2.3873109243697477
35800,85460,2.387150837988827
35900,85691,2.3869359331476323
36000,85919,2.3866388888888888
36100,86159,2.3866759002770084
36200,86410,2.3870165745856355
36300,86637,2.386694214876033
36400,86892,2.387142857142857
36500,87138,2.3873424657534246
36600,87380,2.387431693989071
36700,87627,2.387656675749319
36800,87868,2.387717391304348
36900,88109,2.387777777777778
37000,88338,2.3875135135135137
37100,88570,2.38733153638814
37200,88794,2.3869354838709675
37300,89023,2.3866756032171583
37400,89240,2.386096256684492
37500,89480,2.3861333333333334
37600,89714,2.3860106382978725
37700,89939,2.3856498673740054
37800,90177,2.3856349206349208
37900,90417,2.3856728232189974
38000,90650,2.3855263157894737
38100,90884,2.3854068241469815
38200,91113,2.3851570680628273
38300,91363,2.385456919060052
38400,91613,2.3857552083333333
38500,91850,2.3857142857142857
38600,92080,2.3854922279792747
38700,92318,2.3854780361757104
38800,92559,2.385541237113402
38900,92811,2.385886889460154
39000,93045,2.3857692307692306
39100,93298,2.3861381074168797
39200,93523,2.3857908163265305
39300,93754,2.3855979643765903
39400,93980,2.385279187817259
39500,94211,2.3850886075949367
39600,94448,2.385050505050505
39700,94674,2.384735516372796
39800,94910,2.384673366834171
39900,95140,2.3844611528822055
40000,95363,2.384075
40100,95598,2.3839900249376558
40200,95832,2.3838805970149255
40300,96070,2.3838709677419354
40400,96300,2.383663366336634
40500,96560,2.3841975308641974
40600,96810,2.3844827586206896
40700,97038,2.384226044226044
40800,97274,2.3841666666666668
40900,97512,2.3841564792176038
41000,97739,2.383878048780488
41100,97990,2.3841849148418492
41200,98216,2.383883495145631
41300,98469,2.3842372881355933
41400,98698,2.3840096618357487
41500,98932,2.3839036144578314
41600,99169,2.3838701923076924
41700,99400,2.383693045563549
41800,99651,2.3839952153110047
41900,99877,2.3836992840095466
42000,100116,2.383714285714286
42100,100351,2.3836342042755345
42200,100609,2.384099526066351
42300,100837,2.383853427895981
42400,101073,2.383797169811321
42500,101312,2.3838117647058823
42600,101550,2.3838028169014085
42700,101787,2.3837704918032787
42800,102010,2.383411214953271
42900,102243,2.3832867132867133
43000,102451,2.3825813953488373
43100,102686,2.382505800464037
43200,102931,2.382662037037037
43300,103171,2.38270207852194
43400,103415,2.3828341013824885
43500,103648,2.3827126436781607
43600,103877,2.3825
43700,104118,2.382562929061785
43800,104357,2.3825799086757993
43900,104591,2.38248291571754
44000,104836,2.3826363636363634
44100,105075,2.38265306122449
44200,105303,2.382420814479638
44300,105545,2.3825056433408576
44400,105787,2.38259009009009
44500,106016,2.3823820224719103
44600,106257,2.382443946188341
44700,106493,2.3823937360178973
44800,106730,2.3823660714285713
44900,106977,2.3825612472160356
45000,107208,2.3824
45100,107439,2.382239467849224
45200,107669,2.382057522123894
45300,107915,2.3822295805739513
45400,108140,2.3819383259911895
45500,108380,2.3819780219780218
45600,108619,2.3819956140350875
45700,108869,2.382253829321663
45800,109110,2.3823144104803493
45900,109344,2.382222222222222
46000,109574,2.3820434782608695
46100,109815,2.382104121475054
46200,110056,2.3821645021645024
46300,110299,2.382267818574514
46400,110539,2.3823060344827587
46500,110780,2.3823655913978494
46600,111029,2.3825965665236053
46700,111270,2.3826552462526767
46800,111505,2.3825854700854703
46900,111734,2.3823880597014924
47000,111974,2.3824255319148935
47100,112208,2.382335456475584
47200,112445,2.3823093220338984
47300,112688,2.382410147991543
47400,112935,2.382594936708861
47500,113178,2.3826947368421054
47600,113414,2.3826470588235296
47700,113645,2.382494758909853
47800,113887,2.382573221757322
47900,114140,2.3828810020876827
48000,114380,2.3829166666666666
48100,114631,2.3831808731808732
48200,114884,2.3834854771784233
48300,115119,2.383416149068323
48400,115362,2.383512396694215
48500,115596,2.3834226804123713
48600,115847,2.3836831275720165
48700,116085,2.3836755646817247
48800,116328,2.3837704918032787
48900,116560,2.383640081799591
49000,116811,2.3838979591836735
49100,117047,2.383849287169043
49200,117293,2.38400406504065
49300,117535,2.384077079107505
49400,117769,2.383987854251012
49500,117998,2.3837979797979796
49600,118240,2.3838709677419354
49700,118485,2.3840040241448692
49800,118716,2.383855421686747
49900,118946,2.383687374749499
50000,119190,2.3838
50100,119436,2.3839520958083833
50200,119673,2.3839243027888446
50300,119926,2.3842147117296224
50400,120154,2.3840079365079365
50500,120382,2.3838019801980197
50600,120613,2.3836561264822134
50700,120837,2.3833727810650887
50800,121084,2.3835433070866143
50900,121330,2.3836935166994104
51000,121572,2.383764705882353
51100,121798,2.383522504892368
51200,122041,2.38361328125
51300,122257,2.38317738791423
51400,122488,2.383035019455253
51500,122745,2.383398058252427
51600,122972,2.3831782945736433
51700,123194,2.382862669245648
51800,123432,2.382857142857143
51900,123673,2.382909441233141
52000,123911,2.3829038461538463
52100,124135,2.3826295585412667
52200,124359,2.3823563218390804
52300,124586,2.3821414913957937
52400,124815,2.381965648854962
52500,125060,2.3820952380952383
52600,125290,2.3819391634980986
52700,125529,2.381954459203036
52800,125773,2.3820643939393937
52900,126015,2.3821361058601136
53000,126253,2.382132075471698
53100,126495,2.3822033898305084
53200,126727,2.3820864661654135
53300,126968,2.382138836772983
53400,127209,2.382191011235955
53500,127423,2.3817383177570095
53600,127656,2.381641791044776
53700,127885,2.3814711359404095
53800,128137,2.381728624535316
53900,128379,2.381799628942486
54000,128617,2.3817962962962964
54100,128859,2.3818669131238446
54200,129111,2.382121771217712
54300,129332,2.381804788213628
54400,129573,2.381856617647059
54500,129806,2.381761467889908
54600,130037,2.3816300366300367
54700,130290,2.3819012797074954
54800,130519,2.3817335766423358
54900,130738,2.381384335154827
55000,130967,2.381218181818182
55100,131198,2.381088929219601
55200,131430,2.3809782608695653
55300,131657,2.3807775768535264
55400,131886,2.3806137184115523
55500,132122,2.3805765765765767
55600,132357,2.380521582733813
55700,132614,2.3808617594254935
55800,132855,2.3809139784946236
55900,133097,2.3809838998211093
56000,133349,2.381232142857143
56100,133596,2.3813903743315508
56200,133827,2.3812633451957295
56300,134076,2.3814564831261102
56400,134317,2.3815070921985817
56500,134565,2.3816814159292035
56600,134814,2.3818727915194344
56700,135049,2.381816578483245
56800,135280,2.3816901408450706
56900,135527,2.3818453427065025
57000,135758,2.381719298245614
57100,136000,2.3817863397548162
57200,136249,2.3819755244755245
57300,136487,2.3819720767888306
57400,136732,2.3820905923344946
57500,136965,2.382
57600,137199,2.3819270833333333
57700,137420,2.381629116117851
57800,137660,2.3816608996539794
57900,137899,2.3816753022452506
58000,138157,2.38201724137931
58100,138409,2.3822547332185886
58200,138660,2.3824742268041237
58300,138892,2.3823670668953687
58400,139127,2.3823116438356164
58500,139371,2.3824102564102563
58600,139616,2.3825255972696247
58700,139843,2.382333901192504
58800,140078,2.382278911564626
58900,140324,2.3824108658743635
59000,140560,2.3823728813559324
59100,140806,2.3825042301184434
59200,141059,2.3827533783783785
59300,141293,2.382681281618887
59400,141534,2.382727272727273
59500,141778,2.382823529411765
59600,142030,2.3830536912751676
59700,142264,2.3829815745393637
59800,142498,2.3829096989966554
59900,142727,2.382754590984975
60000,142954,2.3825666666666665
60100,143194,2.382595673876872
60200,143425,2.3824750830564785
60300,143675,2.382669983416252
60400,143915,2.382698675496689
60500,144139,2.3824628099173553
60600,144379,2.3824917491749176
60700,144603,2.3822570016474462
60800,144831,2.3820888157894737
60900,145072,2.3821346469622333
61000,145305,2.382049180327869
61100,145548,2.382127659574468
61200,145797,2.3823039215686275
61300,146034,2.382283849918434
61400,146279,2.3823941368078176
61500,146529,2.3825853658536587
61600,146773,2.3826785714285714
61700,147011,2.382674230145867
61800,147240,2.38252427184466
61900,147485,2.382633279483037
62000,147720,2.3825806451612905
62100,147958,2.3825764895330113
62200,148192,2.382508038585209
62300,148439,2.3826484751203854
62400,148674,2.382596153846154
62500,148920,2.38272
62600,149159,2.3827316293929712
62700,149388,2.3825837320574164
62800,149628,2.3826114649681527
62900,149865,2.3825914149443563
63000,150097,2.3824920634920637
63100,150336,2.382503961965135
63200,150588,2.3827215189873416
63300,150834,2.3828436018957344
63400,151085,2.383044164037855
63500,151330,2.3831496062992126
63600,151573,2.3832232704402516
63700,151800,2.3830455259026686
63800,152037,2.383025078369906
63900,152272,2.3829733959311423
64000,152514,2.38303125
64100,152747,2.3829485179407177
64200,152974,2.382772585669782
64300,153218,2.3828615863141525
64400,153455,2.382841614906832
64500,153680,2.3826356589147286
64600,153922,2.3826934984520123
64700,154155,2.382612055641422
64800,154396,2.3826543209876543
64900,154639,2.382727272727273
65000,154882,2.3828
65100,155116,2.3827342549923194
65200,155356,2.3827607361963192
65300,155613,2.3830474732006124
65400,155847,2.382981651376147
65500,156078,2.382870229007634
65600,156324,2.3829878048780486
65700,156564,2.383013698630137
65800,156799,2.382963525835866
65900,157028,2.3828224582701063
66000,157264,2.382787878787879
66100,157510,2.382904689863843
66200,157750,2.382930513595166
66300,157992,2.3829864253393667
66400,158223,2.3828765060240964
66500,158469,2.3829924812030074
66600,158705,2.382957957957958
66700,158944,2.382968515742129
66800,159173,2.382829341317365
66900,159394,2.3825710014947683
67000,159628,2.382507462686567
67100,159875,2.3826378539493294
67200,160102,2.3824702380952383
67300,160337,2.3824219910846955
67400,160579,2.3824777448071215
67500,160820,2.3825185185185185
67600,161062,2.3825739644970416
67700,161296,2.382511078286558
67800,161536,2.3825368731563423
67900,161788,2.382739322533137
68000,162020,2.3826470588235296
68100,162259,2.3826578560939793
68200,162500,2.3826979472140764
68300,162726,2.3825183016105416
68400,162966,2.3825438596491226
68500,163200,2.3824817518248174
68600,163440,2.382507288629738
68700,163678,2.382503639010189
68800,163919,2.382543604651163
68900,164155,2.382510885341074
69000,164396,2.382550724637681
69100,164638,2.38260492040521
69200,164869,2.3825
69300,165108,2.3825108225108225
69400,165351,2.382579250720461
69500,165579,2.382431654676259
69600,165833,2.3826580459770117
69700,166068,2.3826111908177907
69800,166312,2.3826934097421204
69900,166544,2.3826037195994276
70000,166773,2.3824714285714284
70100,167009,2.3824393723252495
70200,167240,2.382336182336182
70300,167483,2.3824039829302985
70400,167729,2.3825142045454544
70500,167976,2.3826382978723406
70600,168226,2.3828045325779037
70700,168460,2.3827439886845827
70800,168707,2.3828672316384183
70900,168936,2.3827362482369536
71000,169176,2.3827605633802817
71100,169419,2.382827004219409
71200,169653,2.3827668539325844
71300,169875,2.382538569424965
71400,170108,2.382464985994398
71500,170352,2.3825454545454545
71600,170569,2.382248603351955
71700,170829,2.38255230125523
71800,171083,2.3827715877437328
71900,171324,2.382809457579972
72000,171560,2.3827777777777777
72100,171798,2.382773925104022
72200,172040,2.382825484764543
72300,172286,2.382932226832642
72400,172532,2.3830386740331493
72500,172776,2.3831172413793102
72600,173018,2.383168044077135
72700,173240,2.3829436038514444
72800,173470,2.3828296703296705
72900,173693,2.382620027434842
73000,173931,2.3826164383561643
73100,174158,2.3824623803009577
73200,174395,2.382445355191257
73300,174624,2.382319236016371
73400,174855,2.3822207084468663
73500,175093,2.3822176870748297
73600,175319,2.3820516304347827
73700,175559,2.3820759837177747
73800,175800,2.3821138211382116
73900,176031,2.3820162381596752
74000,176267,2.3819864864864866
74100,176492,2.381808367071525
74200,176720,2.3816711590296498
74300,176958,2.3816689098250334
74400,177200,2.381720430107527
74500,177457,2.381973154362416
74600,177689,2.3818900804289544
74700,177926,2.3818741633199463
74800,178157,2.38177807486631
74900,178404,2.3818958611481977
75000,178649,2.3819866666666667
75100,178894,2.3820772303595206
75200,179117,2.381875
75300,179359,2.381925630810093
75400,179590,2.3818302387267907
75500,179839,2.3819735099337747
75600,180088,2.3821164021164023
75700,180326,2.382113606340819
75800,180563,2.3820976253298154
75900,180818,2.38231884057971
76000,181066,2.3824473684210528
76100,181300,2.3823915900131407
76200,181538,2.3823884514435694
76300,181771,2.3823197903014415
76400,182012,2.3823560209424084
76500,182256,2.3824313725490196
76600,182492,2.382402088772846
76700,182720,2.3822685788787483
76800,182959,2.3822786458333334
76900,183189,2.3821716514954487
77000,183433,2.3822467532467533
77100,183663,2.3821400778210116
77200,183900,2.3821243523316062
77300,184131,2.382031047865459
77400,184376,2.3821188630490955
77500,184618,2.382167741935484
77600,184851,2.3821005154639177
77700,185080,2.381981981981982
77800,185324,2.382056555269923
77900,185553,2.38193838254172
78000,185793,2.3819615384615385
78100,186017,2.3817797695262484
78200,186247,2.381675191815857
78300,186495,2.3818007662835248
78400,186730,2.381760204081633
78500,186977,2.381872611464968
78600,187213,2.3818447837150125
78700,187439,2.381689961880559
78800,187679,2.381713197969543
78900,187907,2.3815842839036754
79000,188137,2.3814810126582278
79100,188382,2.3815676359039193
79200,188609,2.3814267676767678
79300,188830,2.3812105926860023
79400,189067,2.381196473551637
79500,189312,2.3812830188679244
79600,189540,2.381155778894472
79700,189778,2.3811543287327477
79800,190030,2.381328320802005
79900,190270,2.381351689612015
80000,190494,2.381175
80100,190729,2.381136079900125
80200,190973,2.381209476309227
80300,191211,2.38120797011208
80400,191439,2.3810820895522387
80500,191669,2.3809813664596273
80600,191917,2.381104218362283
80700,192174,2.3813382899628253
80800,192413,2.38134900990099
80900,192640,2.3812113720642767
81000,192886,2.3813086419753087
81100,193131,2.3813933415536375
81200,193368,2.3813793103448275
81300,193609,2.3814145141451415
81400,193840,2.381326781326781
81500,194075,2.3812883435582823
81600,194320,2.381372549019608
81700,194567,2.3814810281517746
81800,194803,2.3814547677261615
81900,195032,2.3813431013431012
82000,195273,2.381378048780488
82100,195517,2.3814494518879417
82200,195767,2.381593673965937
82300,196015,2.3817132442284326
82400,196247,2.381638349514563
82500,196489,2.3816848484848485
82600,196717,2.3815617433414045
82700,196946,2.3814510278113663
82800,197193,2.3815579710144927
82900,197431,2.381556091676719
83000,197670,2.381566265060241
83100,197896,2.3814199759326113
83200,198139,2.3814783653846154
83300,198376,2.3814645858343337
83400,198630,2.381654676258993
83500,198870,2.3816766467065866
83600,199120,2.381818181818182
83700,199369,2.38194743130227
83800,199608,2.3819570405727926
83900,199863,2.3821573301549464
84000,200092,2.382047619047619
84100,200329,2.3820332936979787
84200,200560,2.3819477434679337
84300,200807,2.3820521945432978
84400,201044,2.382037914691943
84500,201276,2.38196449704142
84600,201513,2.381950354609929
84700,201757,2.3820188902007082
84800,201991,2.3819693396226413
84900,202244,2.382143698468787
85000,202476,2.382070588235294
85100,202714,2.382068155111633
85200,202948,2.382018779342723
85300,203193,2.3820984759671746
85400,203431,2.382096018735363
85500,203654,2.381918128654971
85600,203890,2.381892523364486
85700,204143,2.382065344224037
85800,204394,2.3822144522144524
85900,204652,2.38244470314319
86000,204878,2.3823023255813953
86100,205117,2.3823112659698027
86200,205349,2.3822389791183296
86300,205570,2.382039397450753
86400,205814,2.3821064814814816
86500,206040,2.381965317919075
86600,206259,2.381743648960739
86700,206497,2.3817416378316034
86800,206734,2.381728110599078
86900,206964,2.381634062140391
87000,207204,2.3816551724137933
87100,207440,2.3816303099885188
87200,207680,2.381651376146789
87300,207933,2.381821305841924
87400,208170,2.3818077803203663
87500,208410,2.3818285714285716
87600,208631,2.381632420091324
87700,208871,2.381653363740023
87800,209104,2.3815945330296127
87900,209352,2.3817064846416383
88000,209606,2.381886363636364
88100,209831,2.3817366628830876
88200,210080,2.381859410430839
88300,210317,2.381845979614949
88400,210549,2.3817760180995475
88500,210789,2.3817966101694914
88600,211027,2.3817945823927764
88700,211254,2.3816685456595263
88800,211497,2.3817229729729728
88900,211737,2.3817435320584925
89000,211974,2.381730337078652
89100,212205,2.3816498316498316
89200,212432,2.38152466367713
89300,212676,2.3815901455767077
89400,212914,2.38158836689038
89500,213148,2.381541899441341
89600,213384,2.3815178571428572
89700,213634,2.38164994425864
89800,213858,2.3814922048997773
89900,214096,2.3814905450500556
90000,214339,2.3815444444444442
90100,214572,2.3814872364039954
90200,214803,2.3814079822616407
90300,215040,2.3813953488372093
90400,215279,2.381404867256637
90500,215522,2.3814585635359116
90600,215765,2.381512141280353
90700,216006,2.3815435501653806
90800,216233,2.381420704845815
90900,216460,2.3812981298129814
91000,216689,2.381197802197802
91100,216940,2.3813391877058177
91200,217159,2.381129385964912
91300,217400,2.381161007667032
91400,217640,2.3811816192560173
